sqrt,Square root of n.
sqr,Square of n.
log10,Base 10 logarithm of n.
log2,Base 2 logarithm of n.
ln,Natural (base e) logarithm of n.
exp,Exponential of n with base e.
exp10,Exponential of n with base 10.
exp2,Exponential of n with base 2.
sin,Sine of n.
cos,Cosine of n.
tan,Tangent of n.
asin,Arcsine (inverse sine) of n.
acos,Arccosine (inverse cosine) of n.
atan,Arctangent (inverse tangent) of n.
atan2,Two-argument arctangent.
abs,Absolute value of n.
max,Maximum of a or b.
min,Minimum of a or b.
round,Nearest integer to n.
floor,Nearest integer <= n.
ceil,Nearest integer >= n.
trunc,Truncates the franctional part of n (i.e., rounds towards 0).
clamp,Clamps x to the range [min,max].
clip,Returns x if x is in the range [min,max], otherwise returns False/NaN.
in_range,Returns True/1 if x is in the [min,max], otherwise returns False/NaN.

unary-,Negative
unary!,Logical NOT

+,Plus
-,Minus
*,Multiply
/,Divide
%,Modulo (remainder)
^,Power
||,Logical OR
&&,Logical AND
=,Equal to
!=,Not equal to
<,Less than
<=,Less than or equal to
>,Greater than
>=,Greater than or equal to
